Abs,H,S,L,IndexHSL,Day,CPC
0.5121,0.742857143,0.178571429,0.909090909,0.750718443,0,0.2266
0.5121,0.8,0.214285714,0.848484848,0.801556301,0,0.2266
0.5121,0.885714286,0.178571429,0.787878788,0.886494389,0,0.2266
0.5121,0.8,0.178571429,0.848484848,0.814385041,0,0.2266
0.5121,0.857142857,0.214285714,0.757575758,0.867806503,0,0.2266
0.5121,0.8,0.214285714,0.818181818,0.799653473,0,0.2266
0.5121,0.771428571,0.178571429,0.818181818,0.7882951,0,0.2266
0.5121,0.828571429,0.214285714,0.787878788,0.832344719,0,0.2266
0.5121,0.828571429,0.178571429,0.787878788,0.834914373,0,0.2266
0.5121,0.742857143,0.178571429,0.787878788,0.746505438,0,0.2266
0.5121,0.771428571,0.178571429,0.848484848,0.791991942,0,0.2266
0.5672,0.742857143,0.142857143,0.818181818,0.763711797,0,0.1728
0.5672,0.771428571,0.178571429,0.818181818,0.783724966,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.770165228,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.765335617,0,0.1728
0.5672,0.828571429,0.142857143,0.878787879,0.822967295,0,0.1728
0.5672,0.742857143,0.178571429,0.848484848,0.755966564,0,0.1728
0.5672,0.8,0.178571429,0.848484848,0.803241503,0,0.1728
0.5672,0.857142857,0.178571429,0.787878788,0.873768882,0,0.1728
0.5672,0.8,0.178571429,0.818181818,0.811483368,0,0.1728
0.5672,0.714285714,0.142857143,0.848484848,0.725445993,0,0.1728
0.5672,0.771428571,0.178571429,0.848484848,0.776716311,0,0.1728
0.5672,0.742857143,0.214285714,0.818181818,0.761769909,0,0.1728
0.5672,0.742857143,0.107142857,0.848484848,0.745503803,0,0.1728
0.5672,0.8,0.178571429,0.909090909,0.800579776,0,0.1728
0.5672,0.771428571,0.178571429,0.848484848,0.790767102,0,0.1728
0.5672,0.8,0.178571429,0.848484848,0.793612973,0,0.1728
0.5672,0.857142857,0.214285714,0.878787879,0.860136602,0,0.1728
0.5672,0.742857143,0.107142857,1,0.764119147,0,0.1728
0.5672,0.8,0.142857143,0.96969697,0.821940549,0,0.1728
0.5672,0.771428571,0.178571429,0.96969697,0.778136457,0,0.1728
0.5672,0.771428571,0.214285714,0.96969697,0.788334161,0,0.1728
0.5672,0.771428571,0.178571429,1,0.774015524,0,0.1728
0.5672,0.8,0.178571429,0.96969697,0.794285379,0,0.1728
0.5672,0.742857143,0.142857143,0.939393939,0.755062581,0,0.1728
0.5672,0.771428571,0.178571429,0.787878788,0.784020713,0,0.1728
0.5672,0.828571429,0.178571429,0.818181818,0.841655181,0,0.1728
0.5672,0.771428571,0.142857143,0.787878788,0.784137896,0,0.1728
0.5672,0.8,0.142857143,0.727272727,0.805733035,0,0.1728
0.5672,0.828571429,0.214285714,0.818181818,0.837584469,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.772333112,0,0.1728
0.5672,0.771428571,0.178571429,0.787878788,0.781509651,0,0.1728
0.5672,0.714285714,0.142857143,0.848484848,0.730292343,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.773728147,0,0.1728
0.5672,0.8,0.107142857,0.848484848,0.797385147,0,0.1728
0.5672,0.771428571,0.142857143,0.818181818,0.772790683,0,0.1728
0.5672,0.828571429,0.178571429,0.757575758,0.836094572,0,0.1728
0.5672,0.771428571,0.214285714,0.787878788,0.769568153,0,0.1728
0.5672,0.771428571,0.178571429,0.818181818,0.77866099,0,0.1728
0.5672,0.857142857,0.178571429,0.818181818,0.856367218,0,0.1728
0.5672,0.828571429,0.178571429,0.848484848,0.840558684,0,0.1728
0.5672,0.857142857,0.214285714,0.818181818,0.86927687,0,0.1728
0.5672,0.714285714,0.142857143,0.818181818,0.736003616,0,0.1728
0.5672,0.714285714,0.107142857,0.878787879,0.724625712,0,0.1728
0.5672,0.828571429,0.142857143,0.818181818,0.837785354,0,0.1728
0.5672,0.742857143,0.142857143,0.818181818,0.756089327,0,0.1728
0.5672,0.685714286,0.142857143,0.818181818,0.68162237,0,0.1728
0.5672,0.742857143,0.178571429,0.787878788,0.761875931,0,0.1728
0.5672,0.771428571,0.142857143,0.818181818,0.779361297,0,0.1728
0.5672,0.742857143,0.107142857,0.848484848,0.738230091,0,0.1728
0.5672,0.8,0.178571429,0.909090909,0.820436702,0,0.1728
0.5672,0.685714286,0.178571429,0.909090909,0.703030574,0,0.1728
0.5672,0.771428571,0.178571429,0.96969697,0.78467638,0,0.1728
