C,M,Y,K,IndexCMYK,CPC
0.11627907,0,0.04,0.269230769,0.116272778,0.1728
0.046511628,0,0.04,0.192307692,0.046509147,0.1728
0.069767442,0,0.04,0.192307692,0.069763698,0.1728
0.162790698,0,0.04,0.269230769,0.162781835,0.1728
0.11627907,0,0.04,0.269230769,0.1162728,0.1728
0.093023256,0,0.04,0.307692308,0.093018272,0.1728
0.093023256,0,0.08,0.230769231,0.093020506,0.1728
0.11627907,0,0.04,0.115384615,0.116272688,0.1728
0.093023256,0,0.04,0.115384615,0.093018159,0.1728
0.093023256,0,0.04,0.115384615,0.093018159,0.1728
0.11627907,0,0.04,0.230769231,0.116272778,0.1728
0.11627907,0,0.04,0.346153846,0.116272823,0.1728
0.139534884,0,0.08,0.307692308,0.139529608,0.1728
0.139534884,0,0.04,0.307692308,0.139527329,0.1728
0.139534884,0,0.08,0.230769231,0.139529586,0.1728
0.186046512,0,0.04,0.269230769,0.186036386,0.1728
0.139534884,0,0.04,0.307692308,0.139527329,0.1728
0.11627907,0,0.04,0.269230769,0.116272778,0.1728
0.069767442,0,0.04,0.192307692,0.069763698,0.1728
0.11627907,0,0.04,0.307692308,0.1162728,0.1728
0.093023256,0,0.04,0.269230769,0.093018249,0.1728
0.139534884,0,0.04,0.307692308,0.139527329,0.1728
0.11627907,0,0.04,0.230769231,0.116272755,0.1728
0.046511628,0,0,0.192307692,0.046506868,0.1728
0.11627907,0,0.08,0.230769231,0.116275057,0.1728
0.11627907,0,0,0.230769231,0.116270498,0.1728
0.139534884,0,0.04,0.269230769,0.139527306,0.1728
0.186046512,0,0.08,0.230769231,0.186038643,0.1728
0.139534884,0,0.08,0.307692308,0.139529608,0.1728
0.093023256,0,0.04,0.192307692,0.093018227,0.1728
0.139534884,0,0.04,0.307692308,0.139527329,0.1728
0.046511628,0,0.04,0.153846154,0.046509125,0.1728
0.069767442,0,0.04,0.153846154,0.069763653,0.1728
0.11627907,0,0.08,0.153846154,0.116275012,0.1728
0.093023256,0,0.04,0.192307692,0.093018204,0.1728
0.093023256,0,0.04,0.192307692,0.093018227,0.1728
0.11627907,0,0.08,0.230769231,0.116275057,0.1728
0.139534884,0,0.04,0.269230769,0.139527329,0.1728
0.069767442,0,0.04,0.230769231,0.069763721,0.1728
0.046511628,0,0,0.269230769,0.046506913,0.1728
0.093023256,0,0.04,0.230769231,0.093018227,0.1728
0.139534884,0,0.04,0.307692308,0.139527329,0.1728
0.162790698,0,0.04,0.346153846,0.16278188,0.1728
0.11627907,0,0.04,0.230769231,0.116272755,0.1728
0.11627907,0,0.04,0.269230769,0.116272778,0.1728
0.139534884,0,0.04,0.230769231,0.139527284,0.1728
0.139534884,0,0.04,0.307692308,0.139527351,0.1728
0.139534884,0,0.04,0.307692308,0.139527329,0.1728
0.139534884,0,0.04,0.307692308,0.139527351,0.1728
0.11627907,0,0.04,0.230769231,0.116272778,0.1728
0.139534884,0,0.04,0.230769231,0.139527284,0.1728
0.11627907,0,0.04,0.192307692,0.116272733,0.1728
0.11627907,0,0.08,0.192307692,0.116275035,0.1728
0.093023256,0,0.04,0.192307692,0.093018227,0.1728
0.093023256,0,0.04,0.269230769,0.093018249,0.1728
0.023255814,0,0.04,0.153846154,0.023254596,0.1728
0.139534884,0,0.08,0.230769231,0.139529563,0.1728
0.139534884,0,0.08,0.230769231,0.139529586,0.1728
0.11627907,0,0.04,0.153846154,0.11627271,0.139
0.11627907,0,0.04,0.230769231,0.116272755,0.139
0.11627907,0,0.08,0.230769231,0.116275035,0.139
0.023255814,0,0.04,0.230769231,0.023254641,0.139
0.11627907,0,0.04,0.269230769,0.116272778,0.139
0.069767442,0,0.04,0.153846154,0.069763676,0.139
0.11627907,0,0.08,0.307692308,0.11627508,0.139
0.186046512,0,0.04,0.307692308,0.186036386,0.139
0.11627907,0,0.04,0.192307692,0.116272755,0.139
0.11627907,0,0.04,0.153846154,0.116272733,0.139
0.139534884,0,0.04,0.192307692,0.139527284,0.139
0.093023256,0,0.04,0.192307692,0.093018204,0.139
0.046511628,0,0.04,0.192307692,0.046509147,0.139
0.046511628,0,0.04,0.192307692,0.046509147,0.139
0.093023256,0,0.04,0.192307692,0.093018227,0.139
0.069767442,0,0.04,0.192307692,0.069763676,0.139
0.069767442,0,0.04,0.192307692,0.069763676,0.139
0.11627907,0,0.04,0.192307692,0.116272733,0.139
0.093023256,0,0.04,0.115384615,0.093018182,0.139
0.139534884,0,0.08,0.192307692,0.139529541,0.139
0.093023256,0,0.04,0.153846154,0.093018182,0.139
0.093023256,0,0.04,0.115384615,0.093018159,0.139
0.162790698,0,0.08,0.115384615,0.162784024,0.139
0.162790698,0,0.08,0.115384615,0.162784024,0.139
0.139534884,0,0.08,0.115384615,0.139529496,0.139
0.11627907,0,0.08,0.192307692,0.116275035,0.139
0.139534884,0,0.08,0.230769231,0.139529586,0.139
0.11627907,0,0.04,0.192307692,0.116272733,0.139
0.11627907,0,0.04,0.192307692,0.116272755,0.139
0.023255814,0,0.04,0,0.023254528,0.139
0.069767442,0,0.04,0.192307692,0.069763676,0.139
0.069767442,0,0.04,0.192307692,0.069763676,0.139
0.139534884,0,0.04,0.230769231,0.139527284,0.139
0.093023256,0,0.08,0.230769231,0.093020506,0.139
0.139534884,0,0.04,0.230769231,0.139527284,0.139
0.11627907,0,0.08,0.269230769,0.116275057,0.139
0.11627907,0,0.08,0.230769231,0.116275057,0.139
0.11627907,0,0.04,0.192307692,0.116272755,0.139
0.139534884,0,0.08,0.230769231,0.139529586,0.139
0.162790698,0,0.04,0.230769231,0.162781835,0.139
0.11627907,0,0.08,0.230769231,0.116275035,0.139
0.11627907,0,0.04,0.192307692,0.116272733,0.139
0.069767442,0,0.04,0.153846154,0.069763676,0.139
0.093023256,0,0.04,0.153846154,0.093018204,0.139
0.069767442,0,0.08,0.192307692,0.069765955,0.139
0.11627907,0,0.04,0.192307692,0.116272733,0.139
0.093023256,0,0.04,0.115384615,0.093018159,0.139
0.093023256,0,0.08,0.192307692,0.093020506,0.139
0.11627907,0,0.08,0.192307692,0.116275012,0.139
0.186046512,0,0.08,0.230769231,0.18603862,0.139
0.186046512,0,0.08,0.230769231,0.18603862,0.139
0.186046512,0,0.08,0.230769231,0.186038643,0.139
0.139534884,0,0.08,0.115384615,0.139529518,0.139
0.139534884,0,0.04,0.115384615,0.139527216,0.139
0.046511628,0,0.04,0.038461538,0.046509057,0.139
0.046511628,0,0.04,0.038461538,0.046509057,0.139
0.11627907,0,0.04,0.076923077,0.116272665,0.139
0.093023256,0,0.08,0.076923077,0.093020416,0.139
0.11627907,0,0.04,0.076923077,0.116272665,0.139
0.11627907,0,0.04,0.076923077,0.116272665,0.139
0.139534884,0,0.08,0.192307692,0.139529541,0.139
0.11627907,0,0.04,0.192307692,0.116272733,0.139
0.11627907,0,0.04,0.153846154,0.11627271,0.139
0.139534884,0,0.04,0.153846154,0.139527239,0.139
0.069767442,0,0.04,0.076923077,0.069763608,0.139
0.11627907,0,0.04,0.076923077,0.116272665,0.139
0.093023256,0,0.04,0.076923077,0.093018136,0.139
0.046511628,0,0.04,0.076923077,0.046509102,0.139
0.046511628,0,0.04,0.038461538,0.046509057,0.139
